parent Z,parent N,parentA,parent(2Jpi),hl_GT+FF_Qexp(sec),hl_GTonly_Qexp(sec),hl_GT+FF_Qtho(sec),hl_GTonly_Qtho(sec),Pn_GT+FF_Qexp(%),Pn_GTonly_Qexp(%),Pn_GT+FF_Qtho(%),Pn_GTonly_Qtho(%)
13,22,35,Al35(j5p),0.023512,0.023548,0.015505000000000001,0.015532,25.41,25.38,29.48,29.44
13,23,36,Al36(j10nEx.=0.33 MeV),0.016739999999999998,0.016793,0.011554,0.011596,29.09,28.99,32.93,32.83
13,23,36,Al36(j2nEx.=0.22 MeV),0.018466,0.018636,0.013038000000000001,0.013162000000000002,36.18,35.92,39.53,39.28
13,23,36,Al36(j4nEx.=0.08 MeV),0.0187,0.01887,0.013996000000000001,0.014125,35.30,35.27,38.18,38.16
13,23,36,Al36(j8n),0.015815,0.015887000000000002,0.012322,0.012382,33.27,33.12,35.84,35.69
13,24,37,Al37(j5p),0.012442,0.012538,0.009899,0.009980000000000001,45.91,45.78,48.20,48.07
13,25,38,Al38(j0n),0.008631999999999999,0.008903000000000001,0.008467,0.008733000000000001,58.83,60.14,58.97,60.29
13,25,38,Al38(j10nEx.=0.39 MeV),0.008417,0.008485,0.007194,0.007253,50.45,50.69,51.89,52.15
13,26,39,Al39(j5p),0.005784,0.006084,0.005549,0.005837,62.44,64.46,62.76,64.81
13,27,40,Al40(j0nEx.=0.36 MeV),0.004497,0.004796000000000001,0.003174,0.003372,95.32,99.64,95.82,99.67
13,27,40,Al40(j2nEx.=0.45 MeV),0.004462,0.005207,0.003052,0.0035499999999999998,78.75,90.42,79.79,91.32
13,27,40,Al40(j4nEx.=0.18 MeV),0.004824,0.005341,0.003614,0.003993,60.79,65.58,63.00,67.87
13,27,40,Al40(j6nEx.=0.30 MeV),0.005788000000000001,0.006517,0.004119,0.004631000000000001,70.86,77.96,72.58,79.74
13,27,40,Al40(j8n),0.004653,0.005018,0.0037010000000000003,0.003988,55.49,59.23,57.64,61.49
13,28,41,Al41(j5p),0.0039030000000000002,0.004863,0.002484,0.003094,62.23,71.83,64.89,75.20
13,29,42,Al42(j0nEx.=0.34 MeV),0.004407,0.006036,0.0018360000000000002,0.0024820000000000003,83.86,98.12,84.65,98.55
13,29,42,Al42(j2nEx.=0.25 MeV),0.004141,0.0054080000000000005,0.001774,0.002305,85.45,96.47,86.12,97.24
13,29,42,Al42(j4nEx.=0.10 MeV),0.004465,0.005581000000000001,0.001992,0.0024820000000000003,79.69,85.97,82.45,88.90
13,29,42,Al42(j6n),0.004315,0.005503999999999999,0.0019950000000000002,0.002541,81.68,95.21,82.55,96.13
13,29,42,Al42(j8nEx.=0.34 MeV),0.005932000000000001,0.006669,0.002425,0.002718,89.48,90.53,91.74,92.75
13,30,43,Al43(j5p),0.0030960000000000002,0.003977,0.001763,0.0022570000000000003,99.18,100.00,99.23,100.00
13,31,44,Al44(j2nEx.=0.18 MeV),-,-,0.0011819999999999999,0.001805,NaN,NaN,78.97,100.00
13,31,44,Al44(j4n),-,-,0.0013779999999999999,0.0017980000000000001,NaN,NaN,94.93,100.00
13,31,44,Al44(j6nEx.=0.27 MeV),-,-,0.001277,0.0016719999999999999,NaN,NaN,95.02,100.00
13,31,44,Al44(j8nEx.=0.08 MeV),-,-,0.001458,0.001855,NaN,NaN,99.36,100.00
13,32,45,Al45(j5p),-,-,0.001098,0.001497,NaN,NaN,93.53,100.00
13,33,46,Al46(j4n),-,-,0.0008830969999999999,0.001287,NaN,NaN,NaN,NaN
13,33,46,Al46(j6nEx.=0.25 MeV),-,-,0.0005844450000000001,0.000750672,NaN,NaN,NaN,NaN
13,34,47,Al47(j5p),-,-,0.00060548,0.000959736,NaN,NaN,NaN,NaN
14,22,36,Si36(j0p),0.37469,0.3757,0.368407,0.369402,3.64,3.62,3.69,3.67
14,23,37,Si37(j5n),0.126121,0.128796,0.118214,0.120698,6.24,6.37,6.48,6.62
14,24,38,Si38(j0p),0.090235,0.091605,0.072158,0.07326,18.54,18.78,20.02,20.27
14,25,39,Si39(j3nEx.=0.10 MeV),0.041579000000000005,0.045973,0.033873,0.037218,30.92,34.18,32.66,35.88
14,25,39,Si39(j5n),0.03643,0.037686,0.031394,0.032466,20.33,21.04,21.37,22.10
14,25,39,Si39(j7nEx.=0.04 MeV),0.04399,0.045225,0.036878999999999995,0.037906,23.24,23.89,24.52,25.20
14,26,40,Si40(j0p),0.024413,0.025409,0.023947,0.024922999999999997,30.62,31.40,30.78,31.57
14,27,41,Si41(j3n),0.010922000000000001,0.01148,0.014039999999999999,0.014789,56.77,59.65,55.14,58.05
14,28,42,Si42(j0p),0.008878,0.009328,0.010643000000000001,0.011188,76.77,77.68,76.17,77.01
14,29,43,Si43(j1nEx.=0.05 MeV),0.007583,0.009244,0.005649,0.006827,82.86,99.86,83.53,99.87
14,29,43,Si43(j3n),0.009457,0.011334,0.007114,0.008468999999999999,83.21,99.23,83.82,99.28
14,30,44,Si44(j0p),0.008141,0.010589000000000001,0.005593,0.007194,80.64,100.00,81.35,100.00
14,31,45,Si45(j1n),0.0056890000000000005,0.008962,0.003316,0.005036,68.34,100.00,70.66,100.00
14,31,45,Si45(j3nEx.=0.12 MeV),0.007227000000000001,0.011417,0.003965,0.006014,68.06,100.00,70.44,100.00
14,32,46,Si46(j0p),-,-,0.002855,0.0046500000000000005,NaN,NaN,78.99,100.00
14,33,47,Si47(j1n),-,-,0.001802,0.003792,NaN,NaN,72.97,100.00
